name,root_url,ecosystems,separator,found_repos
sentry-java,https://github.com/getsentry/sentry-java,"Go, Maven",-,"sentry-clj, sentry-dart, sentry-dotnet, sentry-elixir, sentry-flutter, sentry-go, sentry-java, sentry-javascript, sentry-lua, sentry-ocaml, sentry-php, sentry-python, sentry-ruby, sentry-rust"
openjob,https://github.com/open-job/openjob,"Go, Maven",-,"openjob-go, openjob-php"
server-sdk-kotlin,https://github.com/livekit/server-sdk-kotlin,"Go, Maven",-,"server-sdk-go, server-sdk-kotlin, server-sdk-ruby"
stytch-java,https://github.com/stytchauth/stytch-java,"Go, Maven",-,"stytch-dotnet, stytch-go, stytch-java, stytch-node, stytch-php, stytch-python, stytch-ruby, stytch-rust"
pgvector-java,https://github.com/pgvector/pgvector-java,"Go, Maven",-,"pgvector-c, pgvector-cpp, pgvector-dart, pgvector-dotnet, pgvector-elixir, pgvector-erlang, pgvector-go, pgvector-haskell, pgvector-java, pgvector-lua, pgvector-node, pgvector-ocaml, pgvector-perl, pgvector-php, pgvector-python, pgvector-r, pgvector-ruby, pgvector-rust, pgvector-swift"
milvus-sdk-java,https://github.com/milvus-io/milvus-sdk-java,"Go, Maven",-,"milvus-sdk-cpp, milvus-sdk-csharp, milvus-sdk-go, milvus-sdk-java, milvus-sdk-node, milvus-sdk-rust"
cerbos-sdk-java,https://github.com/cerbos/cerbos-sdk-java,"Go, Maven",-,"cerbos-sdk-go, cerbos-sdk-java, cerbos-sdk-javascript, cerbos-sdk-net, cerbos-sdk-php, cerbos-sdk-python, cerbos-sdk-ruby, cerbos-sdk-rust"
fusio-sdk-java,https://github.com/apioo/fusio-sdk-java,"Go, Maven",-,"fusio-sdk-csharp, fusio-sdk-go, fusio-sdk-java, fusio-sdk-javascript, fusio-sdk-php, fusio-sdk-python"
sigstore-java,https://github.com/sigstore/sigstore-java,"Go, Maven",-,"sigstore-go, sigstore-java, sigstore-js, sigstore-maven, sigstore-python, sigstore-rs, sigstore-ruby"
jsoniter-scala,https://github.com/plokhotnyuk/jsoniter-scala,"Go, Maven",-,"jsoniter-java, jsoniter-scala"
influxdb-client-java,https://github.com/influxdata/influxdb-client-java,"Go, Maven",-,"influxdb-client-csharp, influxdb-client-dart, influxdb-client-go, influxdb-client-java, influxdb-client-js, influxdb-client-php, influxdb-client-python, influxdb-client-r, influxdb-client-ruby, influxdb-client-swift"
influxdb3-java,https://github.com/influxcommunity/influxdb3-java,"Go, Maven",-,"influxdb3-csharp, influxdb3-go, influxdb3-java, influxdb3-js, influxdb3-python"
jbang,https://github.com/jbangdev/jbang,"Go, Maven",-,"jbang-npm, jbang-python"
roc-java,https://github.com/roc-streaming/roc-java,"Go, Maven",-,"roc-go, roc-java"
apollo-kotlin,https://github.com/apollographql/apollo-kotlin,"Go, Maven",-,"apollo-kotlin, apollo-rs"
testcontainers-scala,https://github.com/testcontainers/testcontainers-scala,"Go, Maven",-,"testcontainers-clj, testcontainers-dotnet, testcontainers-elixir, testcontainers-go, testcontainers-hs, testcontainers-java, testcontainers-node, testcontainers-php, testcontainers-python, testcontainers-rs, testcontainers-ruby, testcontainers-scala"
librespot-java,https://github.com/librespot-org/librespot-java,"Go, Maven",-,"librespot-golang, librespot-java"
mockito-scala,https://github.com/mockito/mockito-scala,"Go, Maven",-,"mockito-kotlin, mockito-scala"
openmessaging-java,https://github.com/openmessaging/openmessaging-java,"Go, Maven",-,"openmessaging-cpp, openmessaging-go, openmessaging-java, openmessaging-nodejs, openmessaging-python"
stripe-java,https://github.com/stripe/stripe-java,"Go, Maven",-,"stripe-dotnet, stripe-go, stripe-java, stripe-js, stripe-node, stripe-php, stripe-python, stripe-ruby"
realm-kotlin,https://github.com/realm/realm-kotlin,"Go, Maven",-,"realm-cpp, realm-dart, realm-dotnet, realm-java, realm-js, realm-kotlin, realm-swift"
protovalidate-java,https://github.com/bufbuild/protovalidate-java,"Go, Maven",-,"protovalidate-go, protovalidate-java, protovalidate-python"
aws-cryptographic-material-providers-library,https://github.com/aws/aws-cryptographic-material-providers-library,"Go, Maven",-,"aws-cryptographic-material-providers-library-java, aws-cryptographic-material-providers-library-net"
java-tree-sitter,https://github.com/tree-sitter/java-tree-sitter,"Go, Maven",-,"tree-sitter-c, tree-sitter-cpp, tree-sitter-go, tree-sitter-haskell, tree-sitter-java, tree-sitter-javascript, tree-sitter-ocaml, tree-sitter-php, tree-sitter-python, tree-sitter-ruby, tree-sitter-rust, tree-sitter-scala, tree-sitter-swift, tree-sitter-typescript"
surrealdb.java,https://github.com/surrealdb/surrealdb.java,"Go, Maven",.,"surrealdb.c, surrealdb.go, surrealdb.java, surrealdb.js, surrealdb.net, surrealdb.node, surrealdb.php, surrealdb.py, surrealdb.rs"
restlet-framework-java,https://github.com/restlet/restlet-framework-java,"Go, Maven",-,"restlet-framework-java, restlet-framework-js"
fauna-jvm,https://github.com/fauna/fauna-jvm,"Go, Maven",-,"fauna-dotnet, fauna-go, fauna-js, fauna-jvm, fauna-python"
kotlin-tree-sitter,https://github.com/tree-sitter/kotlin-tree-sitter,"Go, Maven",-,"tree-sitter-c, tree-sitter-cpp, tree-sitter-go, tree-sitter-haskell, tree-sitter-java, tree-sitter-javascript, tree-sitter-ocaml, tree-sitter-php, tree-sitter-python, tree-sitter-ruby, tree-sitter-rust, tree-sitter-scala, tree-sitter-swift, tree-sitter-typescript"
scip-java,https://github.com/sourcegraph/scip-java,"Go, Maven",-,"scip-clang, scip-dotnet, scip-go, scip-java, scip-kotlin, scip-python, scip-ruby, scip-rust, scip-typescript"
mchange-commons-java,https://github.com/swaldman/mchange-commons-java,"Go, Maven",-,"mchange-commons-java, mchange-commons-scala"
tink-java,https://github.com/tink-crypto/tink-java,"Go, Maven",-,"tink-go, tink-java, tink-py"
