Normalized_URL,Crates_ID,Crates_Name,Crates_Homepage,Crates_Repo,NPM_ID,NPM_Name,NPM_Homepage,NPM_Repo
github.com/junkdog/beamterm,213575,beamterm-renderer,https://github.com/junkdog/beamterm,https://github.com/junkdog/beamterm,137709,@beamterm/renderer,https://github.com/junkdog/beamterm#readme,git+https://github.com/junkdog/beamterm.git
github.com/dote27/tauri-plugin-broadcast,213551,tauri-plugin-broadcast,,https://github.com/dote27/tauri-plugin-broadcast.git,3346759,tauri-plugin-broadcast-api,https://github.com/dote27/tauri-plugin-broadcast#readme,git+https://github.com/dote27/tauri-plugin-broadcast.git
github.com/teimurjan/blazediff,213754,blazediff,,https://github.com/teimurjan/blazediff,154857,@blazediff/vitest,https://blazediff.dev,git+https://github.com/teimurjan/blazediff.git
github.com/tegojs/bot,214078,aumate,https://github.com/tegojs/bot,https://github.com/tegojs/bot,1081835,@tego/botjs,https://github.com/tegojs/bot#readme,git+https://github.com/tegojs/bot.git
github.com/thoughtgraph/thoughtgraph,214239,thoughtgraph,https://github.com/thoughtgraph/thoughtgraph,https://github.com/thoughtgraph/thoughtgraph,3406595,thoughtgraph,https://github.com/thoughtgraph/thoughtgraph#readme,git+https://github.com/thoughtgraph/thoughtgraph.git
github.com/mindstream/mindstream,214249,mindstream,https://github.com/mindstream/mindstream,https://github.com/mindstream/mindstream,2534455,mindstream,https://github.com/mindstream/mindstream#readme,git+https://github.com/mindstream/mindstream.git
github.com/it-ess/tauri-plugin-mobile-sharetarget,214270,tauri-plugin-mobile-sharetarget,,https://github.com/IT-ess/tauri-plugin-mobile-sharetarget,3346814,tauri-plugin-mobile-sharetarget-api,https://github.com/IT-ess/tauri-plugin-mobile-sharetarget#readme,git+https://github.com/IT-ess/tauri-plugin-mobile-sharetarget.git
github.com/yaici-yacine/mcp-logs,214339,mcp-log-agent,,https://github.com/Yaici-Yacine/mcp-logs.git,2502716,mcp-logs,https://github.com/Yaici-Yacine/mcp-logs#readme,https://github.com/Yaici-Yacine/mcp-logs.git
github.com/open-s2/gis-tools,214503,gis-tools,https://github.com/Open-S2/gis-tools,https://github.com/Open-S2/gis-tools,2051692,gis-tools-ts,https://github.com/Open-S2/gis-tools#readme,git+https://github.com/Open-S2/gis-tools.git
github.com/blackboxaudio/bbx_audio,217430,bbx_core,,https://github.com/blackboxaudio/bbx_audio,136459,@bbx-audio/net,,git+https://github.com/blackboxaudio/bbx_audio.git
