Crates_ID,Crates_Name,Crates_Homepage,Crates_Repo,PyPI_ID,PyPI_Name,PyPI_Homepage,PyPI_Repo
192050,openpathresolver,,https://github.com/scott-wilson/openpathresolver,436323,openpathresolver,https://pypi.org/project/openpathresolver/,https://github.com/scott-wilson/openpathresolver
192064,nucypher-core,,https://github.com/nucypher/nucypher-core/tree/main/nucypher-core,404451,nucypher-core,https://github.com/nucypher/nucypher-core/tree/main/nucypher-core-python,https://github.com/nucypher/nucypher-core/tree/main/nucypher-core-python
192228,srb_py,https://github.com/AndrejOrsula/space_robotics_bench,https://github.com/AndrejOrsula/space_robotics_bench,615271,srb,https://pypi.org/project/srb/,https://github.com/AndrejOrsula/space_robotics_bench
213328,rvimage-domain,https://github.com/bertiqwerty/rvimage,https://github.com/bertiqwerty/rvimage,567876,rvimage,https://pypi.org/project/rvimage/,https://github.com/bertiqwerty/rvimage
192598,mittagleffler,,https://github.com/alexfikl/mittagleffler,507393,pymittagleffler,https://github.com/alexfikl/mittagleffler,https://github.com/alexfikl/mittagleffler
192794,ommx,,https://github.com/Jij-Inc/ommx,431209,ommx-python-mip-adapter,https://pypi.org/project/ommx-python-mip-adapter/,https://github.com/Jij-Inc/ommx
193257,gmac_rs,,https://github.com/alexlovric/gmac,244649,gmac,https://pypi.org/project/gmac/,https://github.com/alexlovric/gmac
193500,omniparse,,https://github.com/sirhco/omniparse,431440,omniparse-rs,https://pypi.org/project/omniparse-rs/,https://github.com/sirhco/omniparse
193780,prav-core,https://github.com/qubitsok/prav,https://github.com/qubitsok/prav,473533,prav,https://pypi.org/project/prav/,https://github.com/qubitsok/prav
194199,vexshield,https://vexshield.com,https://github.com/vexshield/vexshield,685922,vexshield,https://pypi.org/project/vexshield/,https://github.com/vexshield/vexshield
194652,mantaray,https://github.com/mines-oceanography/mantaray,https://github.com/mines-oceanography/mantaray,341988,mantaray,https://github.com/mines-oceanography/mantaray,https://github.com/mines-oceanography/mantaray
194714,denet,https://github.com/btraven00/denet,https://github.com/btraven00/denet,139446,denet,https://github.com/btraven00/denet,https://github.com/btraven00/denet
214199,cloudpub-client,https://github.com/ermak-dev/cloudpub,https://github.com/ermak-dev/cloudpub,97846,cloudpub-python-sdk,https://github.com/ermak-dev/cloudpub,https://github.com/ermak-dev/cloudpub
195019,bitgauss,https://github.com/akissinger/bitgauss,https://github.com/akissinger/bitgauss,60881,bitgauss,https://github.com/akissinger/bitgauss,https://github.com/akissinger/bitgauss
195106,globalsearch,,https://github.com/GermanHeim/globalsearch-rs,500257,pyglobalsearch,https://pypi.org/project/pyglobalsearch/,https://github.com/GermanHeim/globalsearch-rs
195397,htg,,https://github.com/pedrosanzmtz/htg,615622,srtm,https://pypi.org/project/srtm/,https://github.com/pedrosanzmtz/htg
195683,videostream-cli,https://github.com/EdgeFirstAI/videostream,https://github.com/EdgeFirstAI/videostream,686904,videostream,https://pypi.org/project/videostream/,https://github.com/EdgeFirstAI/videostream.git
195986,qoqo-quest,https://github.com/HQSquantumsimulations/qoqo_quest,https://github.com/HQSquantumsimulations/qoqo_quest,538081,qoqo-quest,https://github.com/HQSquantumsimulations/qoqo_quest,https://github.com/HQSquantumsimulations/qoqo_quest
196076,kannolo,,https://github.com/TusKANNy/kannolo,303426,kannolo,https://pypi.org/project/kannolo/,https://github.com/TusKANNy/kannolo
196755,seqtk-rs,https://github.com/yenyen1/seqtk-rs,https://github.com/yenyen1/seqtk-rs,584283,seqtk-rs,https://github.com/yenyen1/seqtk-rs,https://github.com/yenyen1/seqtk-rs
213155,ztensor-cli,,https://github.com/pie-project/ztensor,724395,ztensor,https://pypi.org/project/ztensor/,https://github.com/pie-project/ztensor
196909,kfst-rs,,https://github.com/fergusq/fst-python,533860,pyvoikko,https://github.com/fergusq/fst-python,https://github.com/fergusq/fst-python
196930,pigment64,,https://github.com/decompals/pigment64,460574,pigment64,https://pypi.org/project/pigment64/,https://github.com/decompals/pigment64
197481,spz,https://github.com/Jackneill/spz,https://github.com/Jackneill/spz,613125,spz,https://github.com/Jackneill/spz,https://github.com/Jackneill/spz.git
213327,romcal-cli,https://github.com/emagnier/romcal/tree/v4/cli,https://github.com/emagnier/romcal,562666,romcal,https://pypi.org/project/romcal/,https://github.com/emagnier/romcal
197832,cargo-deny,https://github.com/EmbarkStudios/cargo-deny,https://github.com/EmbarkStudios/cargo-deny,79466,cargo-deny,https://github.com/EmbarkStudios/cargo-deny,https://github.com/EmbarkStudios/cargo-deny
197899,num-dual,https://github.com/itt-ustutt/num-dual,https://github.com/itt-ustutt/num-dual,404932,num-dual,https://github.com/itt-ustutt/num-dual,https://github.com/itt-ustutt/num-dual
209078,hessra-ffi,,https://github.com/hessra/hessra-sdk.rs,262933,hessra-py,https://pypi.org/project/hessra-py/,https://github.com/hessra/hessra-sdk.rs/tree/main/hessra-py
199490,pgqrs,https://github.com/vrajat/pgqrs,https://github.com/vrajat/pgqrs,457605,pgqrs,https://pypi.org/project/pgqrs/,https://github.com/vrajat/pgqrs
198726,operant,https://github.com/galenoshea/operant,https://github.com/galenoshea/operant,437855,operant,https://pypi.org/project/operant/,https://github.com/galenoshea/operant
210866,zephyr-mcumgr-cli,,https://github.com/Finomnis/zephyr-mcumgr-client,721325,zephyr-mcumgr,https://pypi.org/project/zephyr-mcumgr/,https://github.com/Finomnis/zephyr-mcumgr-client
198705,basalt-protocol,,https://github.com/psila-ai/basalt-protocol,51205,basalt-protocol,https://github.com/psila-ai/basalt-protocol,https://github.com/psila-ai/basalt-protocol
199091,stateset-rl-core,https://github.com/stateset/stateset-agents/tree/master/rust_core,https://github.com/stateset/stateset-agents,618495,stateset-agents,https://github.com/stateset/stateset-agents,https://github.com/stateset/stateset-agents
199326,toon,,https://github.com/JadJabbour/toon-rs,656278,toon-pyrs,https://pypi.org/project/toon-pyrs/,https://github.com/JadJabbour/toon-rs
199420,norfair-rs,,https://github.com/nmichlo/norfair-rs,401110,norfair-rs,https://pypi.org/project/norfair-rs/,https://github.com/nmichlo/norfair-rs
199423,spider-client,,https://github.com/spider-rs/spider-clients,610723,spidercloud-py,https://github.com/spider-rs/spider-clients/tree/main/python,https://github.com/spider-rs/spider-clients/tree/main/python
199522,lsprotocol,,https://github.com/microsoft/lsprotocol,335535,lsprotocol,https://pypi.org/project/lsprotocol/,https://github.com/microsoft/lsprotocol
