Normalized_URL,Crates_ID,Crates_Name,Crates_Homepage,Crates_Repo,PyPI_ID,PyPI_Name,PyPI_Homepage,PyPI_Repo
github.com/moefyit/lgtmeow,13025,lgtmeow,https://github.com/moefyit/lgtmeow,https://github.com/moefyit/lgtmeow,321399,lgtmeow,https://github.com/moefyit/lgtmeow,https://github.com/moefyit/lgtmeow
github.com/yrrrrrf/gwa-cli,13042,gwa,,https://github.com/Yrrrrrf/gwa-cli,255032,gwa,https://pypi.org/project/gwa/,https://github.com/Yrrrrrf/gwa-cli
github.com/kscalelabs/kos,178919,kos_core,,https://github.com/kscalelabs/kos,503966,pykos,https://github.com/kscalelabs/kos,https://github.com/kscalelabs/kos
github.com/farm-ng/sophus-rs,13951,sophus_calculus,,https://github.com/farm-ng/sophus-rs/,605573,sophus-pyo3,https://pypi.org/project/sophus-pyo3/,https://github.com/farm-ng/sophus-rs/
github.com/nbiish/ggufy,14078,ggufy,,https://github.com/nbiish/ggufy,239687,ggufy,https://pypi.org/project/ggufy/,https://github.com/nbiish/ggufy
github.com/kitao/kitn,14440,kitn,,https://github.com/kitao/kitn,308127,kitn,https://pypi.org/project/kitn/,https://github.com/kitao/kitn.git
github.com/messense/multi-lsp-proxy,14574,multi-lsp-proxy,,https://github.com/messense/multi-lsp-proxy.git,377621,multi-lsp-proxy,https://pypi.org/project/multi-lsp-proxy/,https://github.com/messense/multi-lsp-proxy.git
github.com/binh-vu/kgdata,195902,kgdata_core,https://github.com/binh-vu/kgdata,https://github.com/binh-vu/kgdata,306686,kgdata-core,https://github.com/binh-vu/kgdata,https://github.com/binh-vu/kgdata
github.com/jpreprocess/jpreprocess,150751,jpreprocess-dictionary-builder,,https://github.com/jpreprocess/jpreprocess,296865,jpreprocess,https://pypi.org/project/jpreprocess/,https://github.com/jpreprocess/jpreprocess
github.com/carderne/upid,15430,upid,,https://github.com/carderne/upid,678593,upid,https://github.com/carderne/upid,https://github.com/carderne/upid
github.com/jacobasorensen/rusty-orbital-dynamics,15541,rusty_orbital_dynamics,,https://github.com/JacobASorensen/rusty-orbital-dynamics,567723,rusty-orbital-dynamics,https://pypi.org/project/rusty-orbital-dynamics/,https://github.com/JacobASorensen/rusty-orbital-dynamics
github.com/joshainglis/topcat,15592,topcat,,https://github.com/joshainglis/topcat,656368,topcat,https://pypi.org/project/topcat/,https://github.com/joshainglis/topcat
github.com/jontyms/neo-passes-rs,15613,neopasses,,https://github.com/jontyms/neo-passes-rs,450084,passes-rs-py,https://pypi.org/project/passes-rs-py/,https://github.com/jontyms/neo-passes-rs
github.com/weso/shapes-rs,147816,rdfsx_cli,https://www.weso.es/shapes-rs/,https://github.com/weso/shapes-rs,566535,rudof,https://www.weso.es/shapes-rs/,https://github.com/weso/shapes-rs
github.com/chik-network/chikbip158,16198,chikbip158,https://github.com/Chik-Network/chikbip158,https://github.com/Chik-Network/chikbip158,90022,chikbip158,https://github.com/Chik-Network/chikbip158,https://github.com/Chik-Network/chikbip158
github.com/jacoblincool/tja-rs,16639,tja,https://github.com/JacobLinCool/tja-rs,https://github.com/JacobLinCool/tja-rs,652956,tja,https://github.com/JacobLinCool/tja-rs,https://github.com/JacobLinCool/tja-rs
github.com/aiyah-meloken/cryptotensors,16719,cryptotensors,https://github.com/aiyah-meloken/cryptotensors,https://github.com/aiyah-meloken/cryptotensors,118820,cryptotensors,https://pypi.org/project/cryptotensors/,https://github.com/aiyah-meloken/cryptotensors
github.com/paraxiom/topological-coherence,16871,topological-coherence,,https://github.com/Paraxiom/topological-coherence,656540,topological-coherence,https://pypi.org/project/topological-coherence/,https://github.com/Paraxiom/topological-coherence
github.com/fnndsc/chrs,161152,chris,,https://github.com/FNNDSC/chrs,91286,chrs,https://chrisproject.org,https://github.com/FNNDSC/chrs
github.com/smirkey/powerboxes,17844,powerboxesrs,https://github.com/Smirkey/powerboxes,https://github.com/Smirkey/powerboxes,472165,powerboxes,https://github.com/Smirkey/powerboxes,https://github.com/Smirkey/powerboxes
github.com/vnpyrs/vnpyrs,18688,vnpyrs,https://github.com/vnpyrs/vnpyrs,https://github.com/vnpyrs/vnpyrs,690229,vnrs,https://pypi.org/project/vnrs/,https://github.com/vnpyrs/vnpyrs
